case,source_group,mode,file,expected_emotion,question_set,question_score,question_status,transcript_or_text,top_text_category,audio_raw_label,audio_observation,video_raw_label,video_observation,text_component_score,audio_component_score,video_component_score,reflection_score,expected_reflection_score,reflection_formula_match,reflection_indicator,combined_score,expected_combined_score,combined_formula_match,combined_indicator,review_complete,full_end_to_end,robustness_case,pipeline_pass,processing_errors,text_model_scores,audio_model_scores,video_model_scores,processing_seconds
T01,Own text,Text reflection,Text 1.txt,,steady,4.0,Feeling relatively steady today,Today i feel normal . i managed to care for my needs and for the baby . i received help from my family to take care of the cooking and cleaning in the house . my partner is also very sweet he buys me snacks even when i dont ask for it . i also managed to take 2 pills basically my vitamins i dont feel tired and the birth pain is better than a few days ago,Positive,,,,,3.72,,,3.72,3.72,True,Reflection suggests a relatively steady experience today,3.8,3.8,True,Overall check-in suggests a relatively steady day,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.2155}, {""category"": ""Warmth"", ""score"": 0.2602}, {""category"": ""Neutral"", ""score"": 0.41}, {""category"": ""Low mood"", ""score"": 0.0562}, {""category"": ""Worry"", ""score"": 0.0174}, {""category"": ""Frustration"", ""score"": 0.0407}]",[],[],3.01
T02,Own text,Text reflection,Text 2.txt,,middle,3.0,Experiencing some strain today,"Today was an exhausting day i had to do everything myself , from cooking cleaning grocery shopping i feel very overwhelmed and my body hurts and its painful. the baby wont eat and keeps crying i am tired of running around to feed her.my family could be more supportive. i have too much on my plate today and i really need help",Positive,,,,,1.94,,,1.94,1.94,True,Reflection suggests more strain today,2.26,2.26,True,Overall check-in suggests more strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.0229}, {""category"": ""Warmth"", ""score"": 0.0703}, {""category"": ""Neutral"", ""score"": 0.2833}, {""category"": ""Low mood"", ""score"": 0.4818}, {""category"": ""Worry"", ""score"": 0.0927}, {""category"": ""Frustration"", ""score"": 0.0491}]",[],[],0.08
T03,Own text,Text reflection,Text 3.txt,,strain,2.0,Experiencing significant strain today,Today was very relaxing . i didn't do anything i felt free and everything was taken care of soo i had alot of time for time for myself. i ate well and the babies latched and ate well today.,Positive,,,,,4.26,,,4.26,4.26,True,Reflection suggests a relatively steady experience today,3.58,3.58,True,Overall check-in suggests some strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.5731}, {""category"": ""Warmth"", ""score"": 0.1247}, {""category"": ""Neutral"", ""score"": 0.2363}, {""category"": ""Low mood"", ""score"": 0.0304}, {""category"": ""Worry"", ""score"": 0.0158}, {""category"": ""Frustration"", ""score"": 0.0197}]",[],[],0.06
T04,Own text,Text reflection,Text 4.txt,,mixed,3.0,Experiencing some strain today,Today i feel very mixed . i feel fresh and energetic but exhausted at the same time . there were too many things to do but they were manageable . i managed to cook and clean abit but i had feeding problems with the baby but my family helped we with it .,Positive,,,,,3.07,,,3.07,3.07,True,Reflection suggests some strain today,3.05,3.05,True,Overall check-in suggests some strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.0833}, {""category"": ""Warmth"", ""score"": 0.102}, {""category"": ""Neutral"", ""score"": 0.6657}, {""category"": ""Low mood"", ""score"": 0.0814}, {""category"": ""Worry"", ""score"": 0.0226}, {""category"": ""Frustration"", ""score"": 0.0449}]",[],[],0.07
RA01,RAVDESS audio,Voice reflection,03-01-03-01-01-01-01.wav,happy,steady,4.0,Feeling relatively steady today,Kids are talking by the door.,Positive,happy,Energetic,,,3.11,4.37,,3.74,3.74,True,Reflection suggests a relatively steady experience today,3.82,3.82,True,Overall check-in suggests a relatively steady day,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.1765}, {""category"": ""Warmth"", ""score"": 0.1332}, {""category"": ""Neutral"", ""score"": 0.4376}, {""category"": ""Low mood"", ""score"": 0.0758}, {""category"": ""Worry"", ""score"": 0.0732}, {""category"": ""Frustration"", ""score"": 0.1036}]","[{""observation"": ""Low energy"", ""score"": 0.0122}, {""observation"": ""Frustrated"", ""score"": 0.0103}, {""observation"": ""Discomfort"", ""score"": 0.0024}, {""observation"": ""Worried"", ""score"": 0.0211}, {""observation"": ""Energetic"", ""score"": 0.733}, {""observation"": ""Calm"", ""score"": 0.221}]",[],10.06
RA02,RAVDESS audio,Voice reflection,03-01-04-01-01-01-02.wav,sad,middle,3.0,Experiencing some strain today,Kids are talking by the door.,Positive,sadness,Low energy,,,3.11,1.02,,2.06,2.06,True,Reflection suggests more strain today,2.34,2.34,True,Overall check-in suggests some strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.1765}, {""category"": ""Warmth"", ""score"": 0.1332}, {""category"": ""Neutral"", ""score"": 0.4376}, {""category"": ""Low mood"", ""score"": 0.0758}, {""category"": ""Worry"", ""score"": 0.0732}, {""category"": ""Frustration"", ""score"": 0.1036}]","[{""observation"": ""Low energy"", ""score"": 0.843}, {""observation"": ""Frustrated"", ""score"": 0.001}, {""observation"": ""Discomfort"", ""score"": 0.0058}, {""observation"": ""Worried"", ""score"": 0.1416}, {""observation"": ""Energetic"", ""score"": 0.0021}, {""observation"": ""Calm"", ""score"": 0.0064}]",[],2.78
RA03,RAVDESS audio,Voice reflection,03-01-05-01-01-01-03.wav,angry,strain,2.0,Experiencing significant strain today,Kids are talking by the door.,Positive,angry,Frustrated,,,3.11,1.02,,2.06,2.06,True,Reflection suggests more strain today,2.04,2.04,True,Overall check-in suggests more strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.1765}, {""category"": ""Warmth"", ""score"": 0.1332}, {""category"": ""Neutral"", ""score"": 0.4376}, {""category"": ""Low mood"", ""score"": 0.0758}, {""category"": ""Worry"", ""score"": 0.0732}, {""category"": ""Frustration"", ""score"": 0.1036}]","[{""observation"": ""Low energy"", ""score"": 0.0006}, {""observation"": ""Frustrated"", ""score"": 0.9829}, {""observation"": ""Discomfort"", ""score"": 0.0093}, {""observation"": ""Worried"", ""score"": 0.0012}, {""observation"": ""Energetic"", ""score"": 0.0027}, {""observation"": ""Calm"", ""score"": 0.0032}]",[],2.83
RA04,RAVDESS audio,Voice reflection,03-01-06-01-01-01-04.wav,fearful,mixed,3.0,Experiencing some strain today,Kids are talking by the door.,Positive,fear,Worried,,,3.11,1.23,,2.17,2.17,True,Reflection suggests more strain today,2.42,2.42,True,Overall check-in suggests some strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.1765}, {""category"": ""Warmth"", ""score"": 0.1332}, {""category"": ""Neutral"", ""score"": 0.4376}, {""category"": ""Low mood"", ""score"": 0.0758}, {""category"": ""Worry"", ""score"": 0.0732}, {""category"": ""Frustration"", ""score"": 0.1036}]","[{""observation"": ""Low energy"", ""score"": 0.0151}, {""observation"": ""Frustrated"", ""score"": 0.0223}, {""observation"": ""Discomfort"", ""score"": 0.0061}, {""observation"": ""Worried"", ""score"": 0.8992}, {""observation"": ""Energetic"", ""score"": 0.057}, {""observation"": ""Calm"", ""score"": 0.0004}]",[],2.87
OA01,Own audio,Voice reflection,Recording 1.mp4,,steady,4.0,Feeling relatively steady today,"Hi, today was a very good day. The baby slept. I managed to eat my food. I managed to take medication. I had a lot of personal time today. I didn't really do anything. Everything was just handed to me. And yes, that is about it for today.",Positive,fear,Unclear,,,3.78,,,3.78,3.78,True,Reflection suggests a relatively steady experience today,3.85,3.85,True,Overall check-in suggests a relatively steady day,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.2575}, {""category"": ""Warmth"", ""score"": 0.2484}, {""category"": ""Neutral"", ""score"": 0.38}, {""category"": ""Low mood"", ""score"": 0.0589}, {""category"": ""Worry"", ""score"": 0.0237}, {""category"": ""Frustration"", ""score"": 0.0315}]","[{""observation"": ""Low energy"", ""score"": 0.2669}, {""observation"": ""Frustrated"", ""score"": 0.0712}, {""observation"": ""Discomfort"", ""score"": 0.1307}, {""observation"": ""Worried"", ""score"": 0.3526}, {""observation"": ""Energetic"", ""score"": 0.1268}, {""observation"": ""Calm"", ""score"": 0.0518}]",[],7.2
OA02,Own audio,Voice reflection,Recording 2.mp4,,middle,3.0,Experiencing some strain today,"Hi, today was a very nice day. I got a lot of things done. I managed to eat, I had my own personal time, I managed to care for the baby. Everyone was very supporting today. I got a lot of things done. They all helped me to do some of the work like cooking and cleaning and everything felt manageable. I do feel tired but not so much.",Positive,disgust,Discomfort,,,4.02,1.1,,2.56,2.56,True,Reflection suggests some strain today,2.69,2.69,True,Overall check-in suggests some strain today,True,True,False,True,,"[{""category"": ""Positive"", ""score"": 0.2175}, {""category"": ""Warmth"", ""score"": 0.3608}, {""category"": ""Neutral"", ""score"": 0.3555}, {""category"": ""Low mood"", ""score"": 0.035}, {""category"": ""Worry"", ""score"": 0.012}, {""category"": ""Frustration"", ""score"": 0.0192}]","[{""observation"": ""Low energy"", ""score"": 0.3}, {""observation"": ""Frustrated"", ""score"": 0.037}, {""observation"": ""Discomfort"", ""score"": 0.4182}, {""observation"": ""Worried"", ""score"": 0.2139}, {""observation"": ""Energetic"", ""score"": 0.0209}, {""observation"": ""Calm"", ""score"": 0.01}]",[],12.82
